MANUAL,SKILL
Software Development,System Life-Cycle Phases and Issues Initiation
Software Development,System Life-Cycle Phases and Issues Operations and Maintenance
Software Development,System Life-Cycle Phases and Issues Requirements
Software Development,System Life-Cycle Phases and Issues Testing
Communication Architecture and Security,System Modeling and Specification
Communication Architecture and Security,System modeling techniques
Software Development,"system software and organizational design standards, policies, and authorized approaches (eg, International Organization for Standardization [ISO] guidelines) relating to system design"
Networking,"system, network, and OS hardening techniques (eg, remove unnecessary services, password policies, network segmentation, enable logging, least privilege, etc)"
Communication Architecture and Security,system/server diagnostic tools and fault identification techniques
Communication Architecture and Security,systems administration concepts
Communication Architecture and Security,systems diagnostic tools and fault identification techniques
Communication Architecture and Security,Systems Engineering
Communication Architecture and Security,"systems engineering theories, concepts, and methods"
Communication Architecture and Security,systems integration testing
Analysis,Systems Security Analysis
Communication Architecture and Security,systems security testing and evaluation methods
Communication Architecture and Security,systems testing and evaluation methods
Analysis,tailor code analysis for application-specific concerns
Education/Teaching,tailor curriculum that speaks to the topic at the appropriate level for the target audience
Software Development,tailor technical and planning information to a customer’s level of understanding
Analysis,"tailoring analysis to the necessary levels (eg, classification and organizational)"
Education/Teaching,talking to others to convey information effectively
Cyber Threats,"target and threat organization structures, critical capabilities, and critical vulnerabilities"
Communication Architecture and Security,"target communication profiles and their key elements (eg, target associations, activities, communication infrastructure)"
Communication Architecture and Security,target communication tools and techniques
Cyber Threats,"target cultural references, dialects, expressions, idioms, and abbreviations"
Cyber Threats,"target development (ie, concepts, roles, responsibilities, products, etc)"
